Nama Makanan,Bahan Makanan,Bahan Dasar,Kalori,Protein,Lemak,Karbohidrat,Kehalalan,Alergi,Resep,Harga,Bahan Dasar
Daging sapi cincang taousi cah buncis,1 ons daging sapi (cincang)--1/4 buncir atau kira2--bumbu--bawang putih--taousi hitam--lada bubuk--garam--gula pasir--royco kaldu sapi atau ayam--minyak wijen--kecap asin--,"ons, daging, sapi, (cincang), /, buncir, atau, kira, bumbubawang, putihtaousi, hitamlada, bubukgaramgula, pasirroyco, kaldu, sapi, atau, ayamminyak, wijenkecap, asin",250,20,10,15,halal,-,Cincang daging sapi di beri bumbu kecap asin minyak wijen gula tepung kanji secumput aduk rata diamkan dulu biar meresap--Potong panjng buncis.cincang bawang putih dan tousi--Tumis daging cincang yg sudah di bumbuin aduk sdh agk matang angkt siaihkn--Kasih minyak dikit di wajan tumis bawang dan tousi yg di cincang tumis sampi harum dan masukan buncis kasih sedikit garam dan gula aduk dan ksh sdikit air tutup biarkan matang--Lalu terakhir masukan daging cincang yg sdh di tumis tadi campur kdlm wajan buncis tumis bentr angkt--Tumia buncis daging sapi cincang siap di hidangkan..silakn mencoba--,Rp.21.187,"ons, daging, sapi, (cincang), /, buncir, atau, kira, bumbubawang, putihtaousi, hitamlada, bubukgaramgula, pasirroyco, kaldu, sapi, atau, ayamminyak, wijenkecap, asin"
Sayur asem kacang merah daging sapi,1/4 kg kacang merah--1/4 kg daging sapi--5 siung bawang merah--2 siung bawang putih--2 buah cabe merah--1 butir tomat--Asam jawa--1 Batang daun bawang--Gula merah--Garam--Sedikit bumbu masak--2 lembar salam--,"/, kacang, merah, /, daging, sapi, bawang, merah, bawang, putih, cabe, merah, tomatAsam, jawa, Batang, daun, bawangGula, merahGaramSedikit, bumbu, masak, lembar, salam",200,10,5,30,halal,Kacang,"Rebus kacang merah sampai empuk sisihkan--Rebus daging sampai empuk potong kotak kecil--Iris semua bumbu--Panaskan 1 liter kaldu bekas rebusan daging tadi tambahkan air kalau kurang, setelah mendidih tambahkan kacang merah, daging, bumbu yg sdh diiris, garam secukupnya, gula merah secukupnya, sedikit gula pasir biar gurih, bumbu masak sy pakai royco rasa sapi sedikit saja, 2 lembar daun salam biarkan bumbu meresap sekitar 10-15 menit. Angkat hidangkan sayur kacang merah siap disantap. Selamat mencoba...--",Rp.21.188,"/, kacang, merah, /, daging, sapi, bawang, merah, bawang, putih, cabe, merah, tomatAsam, jawa, Batang, daun, bawangGula, merahGaramSedikit, bumbu, masak, lembar, salam"
Orak arik telur daging sapi,1/2 kg Daging sapi--Bawang putih 1 bungkul cincang halus--Telur 5 biji kocok beri sedikit garam--Minyak wijen--Penyedap rasa--,"/, Daging, sapiBawang, putih, bungkul, cincang, halusTelur, biji, kocok, beri, sedikit, garamMinyak, wijenPenyedap, rasa",200,15,10,5,halal,telur,Tumis bawang putih sampai harum masukkan daging sapi tumis--Masukkan telur yg sudah dikocok lepas aduk2 beri sedikit air--Masukkan minyak wijen dan penyedap rasa tunggu agak mengental angkat dan sajikan selamat mencoba 😄😄--,Rp.21.189,"/, Daging, sapiBawang, putih, bungkul, cincang, halusTelur, biji, kocok, beri, sedikit, garamMinyak, wijenPenyedap, rasa"
Se'i Sapi Khas Kupang,"1 daging Se'i Sapi--2 siung Bawang merah--4 siung Bawang putih--1/4 Bawang Bombay--13 buah cabai rawit (sesuai selera)--2 buah cabai merah keriting (sesuai selera)--1 ikat kecil kemangi, siangi--1/2 buah tomat--secukupnya lada bubuk--secukupnya saos tiram--secukupnya kecap manis--sedikit minyak goreng--secukupnya garam--secukupnya gula--secukupnya air--","daging, Se'i, Sapi, Bawang, merah, Bawang, putih, /, Bawang, Bombay, cabai, rawit, (sesuai, selera), cabai, merah, keriting, (sesuai, selera), ikat, kecil, kemangi,, siangi, /, tomatsecukupnya, lada, bubuksecukupnya, saos, tiramsecukupnya, kecap, manissedikit, minyak, gorengsecukupnya, garamsecukupnya, gulasecukupnya, air",300,20,20,5,halal,-,"Iris daging se'i Sapi nya tipis-tipis atau sesuai selera--Iris tipis bawang merah, bawang putih, bawang Bombay, cabai, dan tomat.--Tumis bawang merah, bawang putih, dan bawang Bombay, sampai harum.--Masukkan cabai, setelah matang masukkan tomat--Bisa beri sedikit air, biarkan sampai bumbu matang dan air mendidih dan menyusut. (ini bisa di skip) bila tidak ingin ada airnya--Masukkan daging Se'i Sapi nya, tambahkan lada bubuk, gula, garam, saos tiram, dan kecap manis. Aduk rata--Masak Se'i sebentar saja ±5 menitan agar daging tidak keras. masukkan daun kemangi. Aduk rata--Tes rasa--Siap di sajikan--",Rp.21.190,"daging, Se'i, Sapi, Bawang, merah, Bawang, putih, /, Bawang, Bombay, cabai, rawit, (sesuai, selera), cabai, merah, keriting, (sesuai, selera), ikat, kecil, kemangi,, siangi, /, tomatsecukupnya, lada, bubuksecukupnya, saos, tiramsecukupnya, kecap, manissedikit, minyak, gorengsecukupnya, garamsecukupnya, gulasecukupnya, air"
Beef steak saus jamur,1/4 kg daging sapi--1/4 kentang--7 buah buncis--2 buah wortel--Marinated--Secukupnya merica bubuk--Secukupny lada hitam--Bikin saos steakny--2 sdm mentega--1 ons jamur kancing--1 buah bawang bombay--4 sdm saus tiram--Secukupnya penyedap rasa--Secukupnya gula--1 sdt tepung maizena--Secukupnya garam--,"/, daging, sapi, /, kentang, buncis, wortelMarinatedSecukupnya, merica, bubukSecukupny, lada, hitamBikin, saos, steakny, mentega, ons, jamur, kancing, bawang, bombay, saus, tiramSecukupnya, penyedap, rasaSecukupnya, gula, tepung, maizenaSecukupnya, garam",400,30,20,10,halal,-,"Cuci bersih daging sapi, lalu iris iris menjadi beberapa bagian tergantung selera, lalu marinated daging sapi, diam kn bberapa menit sampai bumbu meresap.--Rebus sayuran wortel dan buncis.--Goreng kentang di lumuri terigu / bisa juga d rebus yah bunda--Masak daging sapi bisa d bakar, bisa juga pakai teflon anti lengket yah bunda, sampai berubah warna dan kelihatan matang--Bikin saus ny : panaskan wajan lalu cairkan mentega, tumis bawang bombay hingga harum lalu masukan potongan jamur aduk rata hingga layu, masukan saus tiram, aduk rata lalu beri sedikit air masak hingga mendidih, tambahkan gula, garam dan penyedap rasa sesuai selera yah bunda aduk sampai merata, masukan tepung maizena yang telah di larutkan, aduk hingga rata masak hingga mengental.--Lalu sajikan daging sapi di atas piring beserta sayuran dan kentangny siram dengan saos jamur ny dan beef steak saos jamur siap disajikan--Selamat mencoba bunda--",Rp.21.191,"/, daging, sapi, /, kentang, buncis, wortelMarinatedSecukupnya, merica, bubukSecukupny, lada, hitamBikin, saos, steakny, mentega, ons, jamur, kancing, bawang, bombay, saus, tiramSecukupnya, penyedap, rasaSecukupnya, gula, tepung, maizenaSecukupnya, garam"
Tumis Daging Sapi,"500 gr daging sapi--1 bh bawang bombay--1 siung bawang putih--1 ruas jahe--5 bh cabe ijo besar--5 bh cabe ijo keriting--1 sdm saus tiram--1/2 sdt garam, gula pasir, merica bubuk--Saus marinasi:--2 sdm kecap manis--1 sdm kecap asin--1 sdm minyak wijen--","daging, sapi, bh, bawang, bombay, bawang, putih, jahe, bh, cabe, ijo, bh, cabe, ijo, keriting, saus, tiram, /, garam,, gula, pasir,, merica, bubukSaus, marinasi:, kecap, manis, kecap, asin, minyak, wijen",250,20,10,15,halal,-,"Rendam daging dalam kecap manis, kecap asin dan minyak wijen.--Diamkan dalam kulkas minimal 1jam, lebih lama lebih enak.--Iris serong cabe. Geprek jahe. Cincang halus bawang putih. Potong besar bawang bombay.--Panaskan minyak goreng tumis bawang putih dan bawang bombay sampai harum kemudian masukkan jahe dan cabe ijo.--Kemudian masukkan daging yg sudah dimarinasi beserta seluruh sausnya. Aduk rata.--Tambahkan saus tiram. Aduk rata.--Lalu bubuhkan garam, gula pasir dan merica bubuk.--Beri secukupnya air supaya daging matang sempurna dan empuk serta tidak gosong.--Masak sampai kuah berkurang sesuai selera. Koreksi rasa.--Tumis daging sapi siap dihidangkan untuk makan siang bersama keluarga tercinta. 😋😋😋--",Rp.21.192,"daging, sapi, bh, bawang, bombay, bawang, putih, jahe, bh, cabe, ijo, bh, cabe, ijo, keriting, saus, tiram, /, garam,, gula, pasir,, merica, bubukSaus, marinasi:, kecap, manis, kecap, asin, minyak, wijen"
Bola-Bola Kornet Sapi,1 kaleng kornet sapi (merk kornetku)--1 sachet tepung bakwan (pake 1/2 nya)--Minyak--,"kaleng, kornet, sapi, (merk, kornetku), sachet, tepung, bakwan, (pake, /, nya)Minyak",200,10,10,10,halal,-,Campur satu kaleng kornet dengan tepung setengahnya aduk rata..--Bentuk bola-bola goreng sampai berubah warna.. jangan terlalu lama... sajikan--,Rp.21.193,"kaleng, kornet, sapi, (merk, kornetku), sachet, tepung, bakwan, (pake, /, nya)Minyak"
Sayur sop daging sapi no MSG no Gula,1/4 daging sapi (potong kotak2)--sesukanya wortel--1 buah kentang--sesukanya kol--seledri--bawang daun--1 buat tomat besar--bumbu :--merica butir ulek--bawang merah (sesukanya)--3 siung bawang putih (geprek)--secukupnya garam--air matang----,"/, daging, sapi, (potong, kotak, )sesukanya, wortel, kentangsesukanya, kolseledribawang, daun, buat, tomat, besarbumbu, :merica, ulekbawang, merah, (sesukanya), bawang, putih, (geprek)secukupnya, garamair, matang",200,15,10,15,halal,-,"Tumis bawang putih dengan margarin--Goreng bawang merah--Rebus daging sapi yg sudah d potong2 sampai empuk--Masukan bwng putih yg sudah d tumis--Lalu masukan kol.. wortel.. kentang.. sampai empuk, tambahkan merica--Dan terakhir masukan tomat, seledri, daun bawang dan garam.. tes rasa dan masukan bawang goreng. lalu aduk dan siap disajikan..--",Rp.21.194,"/, daging, sapi, (potong, kotak, )sesukanya, wortel, kentangsesukanya, kolseledribawang, daun, buat, tomat, besarbumbu, :merica, ulekbawang, merah, (sesukanya), bawang, putih, (geprek)secukupnya, garamair, matang"
Beef teriyaki,250 gr daging sapi tanpa lemak--Saus:--2 sachet saori teriyaki--2 sdm kecap--1 sdm minyak wijen--1 sdt kecap asin--2 bw putih cincang--1 ruas jahe cincang--2 bw bombay--Cabe hijo buat cantik2--,"daging, sapi, tanpa, lemakSaus:, sachet, saori, teriyaki, kecap, minyak, wijen, kecap, asin, bw, putih, cincang, jahe, cincang, bw, bombayCabe, hijo, buat, cantik",300,20,10,30,halal,-,"Campur semua bahan saus n marinated daging +-1jam--Tumis bw bombay n cabe hijo,masukkan daging n semua sausnya...tambkan air 100 ml. Masak sampai sat n cek rasa--Beef teriyaki siap--",Rp.21.195,"daging, sapi, tanpa, lemakSaus:, sachet, saori, teriyaki, kecap, minyak, wijen, kecap, asin, bw, putih, cincang, jahe, cincang, bw, bombayCabe, hijo, buat, cantik"
Asem asem daging sapi,"1/4 kg daging sapi, cui lalu potong kecil2--100 gram buncis poton2--2 buah wortel, kupas lalu potong potong--1 buah tomat iris2--Bumbu2--Asam jawa secukupnya sampai didapat rasa asam yg diinginkan--4 siung bawang merah iris--4 siung bawang putih iris--1/2 bawang bombay iris--6 buah cabai hijau besar iris--4 buah cabai merah keriting iris--1 lembar Daun salam--Laos geprek--Kecap manis--Garam--Gula--Penyedap rasa--","/, daging, sapi,, cui, kecil, gram, buncis, poton, wortel,, kupas, tomat, Bumbu, Asam, jawa, sampai, didapat, rasa, asam, yg, diinginkan, bawang, merah, bawang, putih, /, bawang, bombay, cabai, hijau, cabai, merah, keriting, lembar, Daun, salamLaos, geprekKecap, manisGaramGulaPenyedap, rasa",250,14,10,20,halal,-,Rebus daging sampai empuk... Sisakan air rebusan untuk kuah--Tumis bawang merah bawang putih bawang bombay hingga harum dan layu--Masukkan cabai daun salam dan laos--Setelah harum masukkan buncis dan wortel aduk2 lalu tmbhkan kecap manis--Masukkan tumisan ke dalam air rebusan daging--Tambahkan asam jawa--Tambahkan garam gula dan penyedap lalu cek rasa--Masak sampi mendidih dan sayuran empuk--Terakhir masukkan tomat--Matikan api--Asem2 daging siap disajikan--Tumis bawang merah bawang putih bawang bombay hingga harum dan layu--Masukkan cabai daun salam dan laos--Setelah harum masukkan buncis dan wortel aduk2 lalu tmbhkan kecap manis--Masukkan tumisan ke dalam air rebusan daging--Tambahkan asam jawa--Tambahkan garam gula dan penyedap lalu cek rasa--Masak sampi mendidih dan sayuran empuk--Terakhir masukkan tomat--Matikan api--Asem2 daging siap disajikan--,Rp.21.196,"/, daging, sapi,, cui, kecil, gram, buncis, poton, wortel,, kupas, tomat, Bumbu, Asam, jawa, sampai, didapat, rasa, asam, yg, diinginkan, bawang, merah, bawang, putih, /, bawang, bombay, cabai, hijau, cabai, merah, keriting, lembar, Daun, salamLaos, geprekKecap, manisGaramGulaPenyedap, rasa"
Spicy Beef Teriyaki (uenakk),300 gr sapi lulur dalam (di iris agak tipis)--selera Cabai rawit--1 buah bombay (ukuran sedang)--1 buah daun bawang/pere--2 sdm mentega--1 sdm madu--Bumbu marinasi :--4 siung bawang putih (parut)--1 cm jahe (parut)--1 sdm mirin (tidak ad boleh skip)--2-3 sdm saus/kecap teriyaki--1 sdt garam--1 sdt gula--1 sdt merica bubuk--,"sapi, lulur, dalam, (di, agak, tipis)selera, Cabai, rawit, bombay, (ukuran, sedang), daun, bawang/pere, mentega, maduBumbu, marinasi, :, bawang, putih, (parut), cm, jahe, (parut), mirin, (tidak, ad, boleh, skip), -, saus/kecap, teriyaki, garam, gula, merica, bubuk",350,20,15,30,halal,-,"Marinasi daging yang yg sudh dipotong dengan bumbu2 yang saya cantumkan. Diamkan di kulkas selama 1 jam. (referensi foto ini)--Siapkan wajan, beri mentega, lalu daging yg sudh di marinasi boleh dituang (hidupkan api yang sedang)--Test kematangan dengan cara menusuk dengan garpu. Jika sudah empuk, boleh di masukkan bawang bombay dan madu--Jika sudah matang, masukkan daun bawang/pere dan cabai rawit--Lalu icip2 rasa jika ad yg kurang (biasanya garam atau gula)--Masakan siap dihidangkan :) semoga suka ya teman2--",Rp.21.197,"sapi, lulur, dalam, (di, agak, tipis)selera, Cabai, rawit, bombay, (ukuran, sedang), daun, bawang/pere, mentega, maduBumbu, marinasi, :, bawang, putih, (parut), cm, jahe, (parut), mirin, (tidak, ad, boleh, skip), -, saus/kecap, teriyaki, garam, gula, merica, bubuk"
Steak sapi parud keju,Bagian has sapi 2 potong ukuran ketebalan 10 inchi--Bumbu rendaman sapi :--secukupnya Ketumbar--secukupnya Lada hitam--3 siung Bawang putih--secukupnya Garam / penyedap / kaldu jamur--secukupnya Air--Bahan sausnya:--Delmonte saus tomat--Delmonte saus cabe--Bawang putih iris 1 siung--Bawang Bombay iris secukupnya--Garam / penyedap / kaldu jamur--secukupnya Air--sesuai selera Tepung maizena--sesuai selera Keju parutan--Bahan salad :--Brokoli--Jagung--Wortel--,"Bagian, has, sapi, ketebalan, inchiBumbu, rendaman, sapi, :secukupnya, Ketumbarsecukupnya, Lada, hitam, Bawang, putihsecukupnya, Garam, /, penyedap, /, kaldu, jamursecukupnya, AirBahan, sausnya:Delmonte, saus, tomatDelmonte, saus, cabeBawang, putih, siungBawang, Bombay, secukupnyaGaram, /, penyedap, /, kaldu, jamursecukupnya, Airsesuai, selera, Tepung, maizenasesuai, selera, Keju, parutanBahan, salad, :BrokoliJagungWortel",400,30,20,10,halal,-,"Sayuran salad d rebus secukupnya jangan terlalu matang pisahkan dan tiriskan--Bawang putih, ketumbar, lada hitam dan garam, penyedap dhaluskan lalu air sedikit campur, lalu sapi masukan k rendaman bumbu nya tersebut. Masukan ke kulkas sblm d bakar--Buatlah sausnya terlebih dahulu, goreng bawang putih dan bawang Bombay sampai wangi lalu delmonte saus cabe dan tomat beri air sedikit lalu penyedap dan bila ingin kental sesuai selera beri tepung maizena yg sudah diberi air sedikit dan campurkan kedalam Katel--Bakar daging sampai warna kecoklatan dan tidak keluar darah lagi--Sajikan daging dilumuri saus dan salad di pinggirny, juga diparuti keju sesuai selera--Bila ingin kenyang di sajikan bersama nasi--",Rp.21.198,"Bagian, has, sapi, ketebalan, inchiBumbu, rendaman, sapi, :secukupnya, Ketumbarsecukupnya, Lada, hitam, Bawang, putihsecukupnya, Garam, /, penyedap, /, kaldu, jamursecukupnya, AirBahan, sausnya:Delmonte, saus, tomatDelmonte, saus, cabeBawang, putih, siungBawang, Bombay, secukupnyaGaram, /, penyedap, /, kaldu, jamursecukupnya, Airsesuai, selera, Tepung, maizenasesuai, selera, Keju, parutanBahan, salad, :BrokoliJagungWortel"
Lumpia isi daging sapi & kol,1/2 bongkol kol iris halus--200 gr daging sapi giling--1 batang daun bawang iris halus--2 sdm minyak goreng--5 sdm air--Kulit lumpia--Putih telor--Merica--Garam--Bumbu cincang halus:--2 bawang merah--2 bawang putih--1 liter minyak goreng untuk goreng lumpia--,"/, bongkol, kol, daging, sapi, giling, batang, daun, bawang, minyak, goreng, airKulit, lumpiaPutih, telorMericaGaramBumbu, cincang, halus:, bawang, merah, bawang, putih, liter, minyak, goreng, untuk, goreng, lumpia",200,10,10,20,halal,-,"Tumis bumbu cincang dgn 2 sdm minyak, masukan daging sapi aduk rata sampai daging berubah warna lalu masukan kol, daun bawang, air, garam dan merica. Masak sampai air surut dan kol matang.--Angkat dari kompor, diamkan di suhu ruang sampai benar2 dingin.--Setelah dingin, bungkus lumpia dgn isian, gulung. Rekatkan ujung dgn putih telor. Lakukan sampai isian habis.--Panaskan minyak goreng, goreng lumpia sampai kecoklatan--Angkat dan sajikan--",Rp.21.199,"/, bongkol, kol, daging, sapi, giling, batang, daun, bawang, minyak, goreng, airKulit, lumpiaPutih, telorMericaGaramBumbu, cincang, halus:, bawang, merah, bawang, putih, liter, minyak, goreng, untuk, goreng, lumpia"
Beef black pepper,500 gram daging sapi has dalam (iris)--2 buah bawang bombay (potong kotak)--2 buah paprika hijau (potong kotak)--4 siung bawang putih (geprek & cacah)--3 sdm lada hitam kasar--5 sdm kecap manis--4 sdm saus tiram--sesuai selera Gula & Garam--,"gram, daging, sapi, has, dalam, (iris), bawang, bombay, (potong, kotak), paprika, hijau, (potong, kotak), bawang, putih, (geprek, &, cacah), lada, hitam, kasar, kecap, manis, saus, tiramsesuai, selera, Gula, &, Garam",300,20,20,5,halal,-,"Aduk rata irisan daging dengan 1 sdm lada hitam, 2 sdm kecap manis & 2 sdm saus tiram. Diamkan selama minimum 30 menit.--Setelahnya tumis daging dengan sedikit minyak hingga matang, lalu sisihkan.--Tumis bawang putih, bawang bombay & paprika hingga harum.--Masukan tumisan daging--Tambahkan 3 sdm kecap manis, 2 sdm saus tiram & 2 sdm lada hitam. Aduk hingga semua bahan tercampur.--Tambahkan garam & gula sesuai selera.--",Rp.21.200,"gram, daging, sapi, has, dalam, (iris), bawang, bombay, (potong, kotak), paprika, hijau, (potong, kotak), bawang, putih, (geprek, &, cacah), lada, hitam, kasar, kecap, manis, saus, tiramsesuai, selera, Gula, &, Garam"
Oseng Tetelan Sapi,1/4 kg tetelan sapi--500 ml air--2 lbr daun salam--secukupnya Garam--secukupnya Gula--Minyak goreng secukupnya untuk menumis--Bumbu halus :--100 g cabe merah keriting--30 g cabe rawit merah (boleh ditambah kalo mau lebih pedas)--50 gr bawang merah--,"/, tetelan, sapi, ml, air, lbr, daun, salamsecukupnya, Garamsecukupnya, GulaMinyak, goreng, untuk, menumisBumbu, :, g, cabe, merah, keriting, g, cabe, rawit, merah, (boleh, ditambah, kalo, mau, lebih, pedas), bawang, merah",300,20,20,10,halal,-,"Rebus tetelan sapi bersama daun salam hingga empuk. Angkat, potong +/- 1 cm, sisihkan.--Rebus atau kukus bahan bumbu halus, lalu ulek kasar.--Tumis bumbu yang telah diulek kasar dengan minyak goreng secukupnya.--Beri garam dan gula secukupnya (lebih baik dirasa ya).--Masukkan tetelan yang telah direbus, aduk rata.--Tambahkan 100 ml air rebusan tetelan.--Koreksi rasa. Jika air sudah susut, matikan kompor.--Siap disajikan dengan nasi hangat.--",Rp.21.201,"/, tetelan, sapi, ml, air, lbr, daun, salamsecukupnya, Garamsecukupnya, GulaMinyak, goreng, untuk, menumisBumbu, :, g, cabe, merah, keriting, g, cabe, rawit, merah, (boleh, ditambah, kalo, mau, lebih, pedas), bawang, merah"
Tongseng sapi,200 gram daging sapi--65 ml santan (kara)--50 gram kubis--1 buah tomat--5 bawang merah--2 bawang putih--3 buah kemiri--5 buah cabe rawit--gula merah----,"gram, daging, sapi, ml, santan, (kara), gram, kubis, tomat, bawang, merah, bawang, putih, kemiri, cabe, rawitgula, merah",300,20,20,10,halal,-,"Cuci bersih daging sapi yang sudah di siapkan--Haluskan bawang merah, bawang putih, jahe, kunyit dan kemiri sisihkan--Panaskan wajan,beri sedikit minyak lalu tumis bumbu halus hingga harum,lalu masukkan daging sapi tumis hingga berubah warna,masukkan santan dan tuang air secukupnya tunggu hingga mendidih--Bumbui dengan garam,gula merah,merica bubuk,kecap tes rasa,jika sudah pas rasanya tunggu hingga mendidih tambahkan tomat iris,kubis dan cabe rawit iris,lalu tunggu air hingga sedikit menyusut,jangan terlampau habis airnya,jika sudah angkat sajikan--",Rp.21.202,"gram, daging, sapi, ml, santan, (kara), gram, kubis, tomat, bawang, merah, bawang, putih, kemiri, cabe, rawitgula, merah"
Soto Daging Sapi Lobak& Wortel,"250 gr Daging Sapi--2 Buah Wortel kupas, iris bulat tipis--2 Buah lobak kupas, iris bulat tipis--1 Batang sereh memar'kan--1 Batang Daun Bawang iris halus--1 Batang Daun Seledri iris halus--Garam secukup'nya--Gula Pasir secukup'nya--1500 ml Air--1 sdt Bawang Goreng--2 sdm Minyak Sayur--~Bumbu Halus~--5 siung Bawang Merah--3 siung Bawang Putih--1/2 sdt Merica butiran--","Daging, Sapi, Wortel, kupas,, bulat, lobak, kupas,, bulat, Batang, sereh, memar'kan, Batang, Daun, Bawang, Batang, Daun, Seledri, halusGaram, secukup'nyaGula, Pasir, secukup'nya, ml, Air, Bawang, Goreng, Minyak, Sayur~Bumbu, Halus~, Bawang, Merah, Bawang, Putih, /, Merica, butiran",300,20,10,30,halal,-,"Didih'kan Air hingga mendidih, masukan Daging yg sudah dicuci,rebus smp empuk, angkat tiriskan potong kotak''.Air rebusan Daging td disaring, untuk selanjutnya dimasak lg,separuh air rebusan Aku pk merebus lobak, biar aroma lobak'nya ngk pekat--Panaskan minyak, tumis bumbu halus smp harum,didihkan lg sisa air rebusan daging,masukan sereh, wortel,daging sapi,lobak.Tambah'kan garam &gula pasir,daun bawang, seledri. tes rasa.--Angkat, sajikan dngn taburan bawang goreng&pelengkap lain'nya--",Rp.21.203,"Daging, Sapi, Wortel, kupas,, bulat, lobak, kupas,, bulat, Batang, sereh, memar'kan, Batang, Daun, Bawang, Batang, Daun, Seledri, halusGaram, secukup'nyaGula, Pasir, secukup'nya, ml, Air, Bawang, Goreng, Minyak, Sayur~Bumbu, Halus~, Bawang, Merah, Bawang, Putih, /, Merica, butiran"
Tumis buncis cah daging sapi,250 gr baby buncis--100 gr daging sapi giling--3 siung bawang putih--50 ml air--4 sdm minyak untuk menumis--2 sdm saus tiram--sejumput gula--lada bubuk--garam--,"baby, buncis, daging, sapi, giling, bawang, putih, ml, air, minyak, untuk, menumis, saus, tiramsejumput, gulalada, bubukgaram",250,20,10,15,halal,-,"Tumis bawang putih hingga harum, masukan daging giling lalu tumis hingga matang--Masukan buncis, air, saus tiram, gula, garam dan lada.. masak -+10 menit..--",Rp.21.204,"baby, buncis, daging, sapi, giling, bawang, putih, ml, air, minyak, untuk, menumis, saus, tiramsejumput, gulalada, bubukgaram"
Kornet Sapi,1/2 kaleng Kornet Sapi (ukuran sedang)--3 sdm Tepung Terigu--1 buah Telor Ayam--Lada Bubuk--Garam--Masako--,"/, kaleng, Kornet, Sapi, (ukuran, sedang), Tepung, Terigu, Telor, AyamLada, BubukGaramMasako",200,15,10,5,halal,-,"Campur terigu dan telor dahulu, aduk hingga rata. jangan ada gumpalan trigu.--Lalu masukann kornet setengah kaleng yg ukuran sedang, sedikit masako, garam, dan lada bubuk aduk hingga rata.--Siapkann minyak yg sudah dipanaskan, lalu goreng. tunggu hinggs kecokltan dan tiriskan.--Siap dimakan untuk lauk ❤--",Rp.21.205,"/, kaleng, Kornet, Sapi, (ukuran, sedang), Tepung, Terigu, Telor, AyamLada, BubukGaramMasako"
Bakso Sapi,"500 gr daging sapi tanpa lemak--150 gr es batu/7bh ice cubes--1 btr putih telur--100 gr tapioka--1 sdt nutrijell/agar2 plain--Bumbu :--6 bh bawang putih goreng, haluskan--4 bh bawang merah goreng, haluskan--1 sdt lada bubuk--1 sdm garam--2 sdt gula pasir--1 sdm kaldu bubuk--","daging, sapi, tanpa, lemak, es, batu/, bh, ice, cubes, btr, putih, telur, tapioka, nutrijell/agar, plainBumbu, :, bh, bawang, putih, goreng,, haluskan, bh, bawang, merah, goreng,, haluskan, lada, bubuk, garam, gula, pasir, kaldu, bubuk",200,15,5,15,halal,telur,"Giling daging+es batu sehalus mungkin. Tambahkan bumbu-giling, putih telur-giling hingga semua bahan tercampur rata.--Masukkan ke dlm freezer kurleb 30menit.--Keluarkan dr freezer lalu masukkan tapioka+nutrijel sedikit demi sedikit sambil diaduk rata dan diuleni. Uleni jgn kelamaan spy tidak keras.--Masukkan adonan ke freezer 5menit. Kemudian didihkan air di panci besar jgn smpai bergejolak lalu kecilkan apinya, cetak bakso bulat2 hingga mengapung. Angkat--Bila perlu masukkan bakso ke dlm wadah yg berisi air es utk menghentikan proses masak. Spy tetap kenyal dan tdk lembek.--Utk dijadikan Frozen Food:
Tiriskan bakso dan diamkan hingga benar2 dingin. Tata dalam wadah jgn bertumpuk, masukkan ke dlm freezer 1-2jam, lalu masukkan ke wadah kedap udara/plastik klip per porsi. Tahan 2bln jika kondisi freezer sangat dingin.--",Rp.21.206,"daging, sapi, tanpa, lemak, es, batu/, bh, ice, cubes, btr, putih, telur, tapioka, nutrijell/agar, plainBumbu, :, bh, bawang, putih, goreng,, haluskan, bh, bawang, merah, goreng,, haluskan, lada, bubuk, garam, gula, pasir, kaldu, bubuk"
