Nama Makanan,Bahan Makanan,Bahan Dasar,Kalori,Protein,Lemak,Karbohidrat,Kehalalan,Resep,Harga,Alergi Telur,Alergi Kacang,Alergi Kedelai,Alergi Seafood,Alergi udang,Alergi susu
Bakmi jowo samcan babi,"1 bungkus mie telur kering. Saya pake mie burung dara
Samcan babi yang sudah direbus potong sesuai selera
Kol ataupun sayuran lain sesuai selera banyaknya
Bumbu :
3 siung bawang putih
4 siung bawang merah
3 butir kemiri
Cabai rawit sesuai selera bamyaknya
Kecap manis
Merica bubuk
secukupnya Garam dan kaldu jamur
","bungkus, mie, telur, kering., Saya, pake, mie, burung, dara, Samcan, babi, yang, sudah, direbus, sesuai, selera, Kol, ataupun, sayuran, lain, sesuai, selera, banyaknya, Bumbu, :, bawang, putih, bawang, merah, kemiri, Cabai, rawit, sesuai, selera, bamyaknya, Kecap, manis, Merica, bubuk, Garam, dan, kaldu, jamur",500,20,25,40,0,"Langkah 1
Rebus mie Telur selama 3 menit. Kemudian angkat dan tiriskan
Langkah 2
Setelah mie ditiriskan tambahkan sedikit minyak goreng dan kecap manis. Kemudian aduk sampe rata.
Langkah 3
Haluskan bawang putih,bawang merah,Cabai rawit dan kemiri. Kemudian tumis hingga harum baunya.
Langkah 4
Setelah harum baunya masukan samcan babi,kol/sayuran dan mie kemudian tambahkan merica bubuk,garam dan kaldu jamur
Langkah 5
Aduk hingga rata sambil dikoreksi rasanya. Kalo dirasa kurang bisa ditambahkan kecap manis. Kalo rasa sudah pas sesuai selera masak mie hingga matang kurang lebih sekitar 5 menitan.
Setelah matang angkat dan sajikan dengan ditaburi bawang goreng.
Monggo silahkan dicoba resepnya.",,1,0,1,0,0,0
Nasi Goreng Babi Rica Kemangi,"1 porsi nasi
1 porsi Babi Rica Kemangi
 Babi Rica Kemangi
1 butir telur
2 buah bakso ikan
2 buah bawang putih
1 mangkok kemangi
Secukupnya lada
Secukupnya garam","porsi, nasi, porsi, Babi, Rica, Kemangi, Babi, Rica, Kemangi, telur, bakso, ikan, bawang, putih, mangkok, kemangi, lada, garam",500,20,25,40,0,"Langkah 1
Potong bakso dan bawang putih.
Langkah 2
Panaskan wajan dan beri sedikit minyak. Pecahkan 1 butir telur, kasih garam dan lada. Orak arik dan sisihkan.
Langkah 3
Dengan wajan yang sama, panaskan wajan dan beri sedikit minyak. Tumis bawang putih yang sudah di cincang hingga harum. Kemudian masukkan bakso.
Langkah 4
Tambahkan babi rica kemangi yang sudah dibuat.
Langkah 5
Tambahkan nasi, bumbui dengan garam dan lada.
Langkah 6
Masukkan kembali telur yang sudah di orak arik dan kemangi yang sudah di cuci bersih. Aduk aduk sebentar.
Langkah 7
Selanjutnya bisa koreksi rasa. Jika rasa sudah pas bisa matikan kompor.
Langkah 8
Sajikan hidangan di atas piring. Selamat mencoba ",,1,0,0,1,0,0
Babi Tore,"1 kg daging babi berkulit bagian perut
secukupnya Cuka dapur
secukupnya Garam
Minyak goreng","daging, babi, berkulit, bagian, perut, Cuka, dapur, Garam, Minyak, goreng",300,20,15,20,0,"Langkah 1
Cuci bersih daging dan rebus sekitar 30 menit.
Langkah 2
Tiriskan dan tusuk2 menggunakan garpu ke semua bagian daging.
Babi Tore langkah memasak 2 foto
Langkah 3
Kemudian tuangkan cuka dan taburkan garam secukupnya, di tutup dan diamkan 20 menit.
Babi Tore langkah memasak 3 foto
Langkah 4
Setelah itu diris kotak2, dan goreng pada minyak panas dan ditutup agar tdk terkena minyak panas, setiap beberapa menit di bolak balik agar tdk lengkap ke wajan.
Babi Tore langkah memasak 4 foto
Babi Tore langkah memasak 4 foto
Babi Tore langkah memasak 4 foto
Langkah 5
Setelah di rasa sdah garing dan tiriskan. Setelah itu Sajikan 🥰
Babi Tore langkah memasak 5 foto",,0,0,0,0,0,0
Samcam Cuka Hitam /Pork belly with Black vinegar (564),"500 gr samcan/ pork belly sudah rebus, potong sesuai selera
3 jempol jahe, kupas, belah, geprek,
6 siung bawang putih
Optional : 3-4Jamur hioko, rendam air panas, iris
6 butir cengkeh
1 sdt kayu manis bubuk/ 5 cm kayu manis batang
1/2 sdt lada bubuk
300 ml air panas/ kuah kaldu
2 sdm minyak untuk tumis
Bumbu:
1 sdm saos tiram
1,5-2 sdm cuka hitam/ selera
1 sdm kecap hitam
1 sdm kecap jamur/ kecap asin
1 sdt minyak wijen
2 sdm gula aren bubuk / gula pasir
Garam secukupnya (koreksi rasa sebelum menambahkan garam)","samcan/, pork, belly, sudah, rebus,, sesuai, selera, jempol, jahe,, kupas,, belah,, geprek,, bawang, putih, Optional, :, -, Jamur, hioko,, rendam, air, panas,, cengkeh, kayu, manis, bubuk/, cm, kayu, manis, batang, /, lada, bubuk, ml, air, panas/, kuah, kaldu, minyak, untuk, tumis, Bumbu:, saos, tiram, ,, -, cuka, hitam/, selera, kecap, hitam, kecap, jamur/, kecap, asin, minyak, wijen, gula, aren, bubuk, /, gula, pasir, Garam, (koreksi, rasa, sebelum, menambahkan, garam)",500,20,30,20,0,"Langkah 1
Siapkan bahan
Samcam Cuka Hitam /Pork belly with Black vinegar (564) langkah memasak 1 foto
Langkah 2
Tumis bawang+ jahe sampai harum. Masukkan samcan + cengkeh+ kayu manis, aduk rata.
Beri bumbu Tambahkan air panas. Aduk rata. tutup panci skitar 4 menit. Api medium.
Masukkan minyak wijen. Aduk, koreksi rasa.
Samcam Cuka Hitam /Pork belly with Black vinegar (564) langkah memasak 2 foto
Samcam Cuka Hitam /Pork belly with Black vinegar (564) langkah memasak 2 foto
Samcam Cuka Hitam /Pork belly with Black vinegar (564) langkah memasak 2 foto
Langkah 3
Sajikan.
Samcam Cuka Hitam /Pork belly with Black vinegar (564) langkah memasak 3 foto
Samcam Cuka Hitam /Pork belly with Black vinegar (564) langkah memasak 3 foto",,0,0,1,0,0,0
Babi Cah Tahu Kucai,"Marinasi :
200 gr Daging Babi Kapsim (iris2)
2 tbsp Kecap Asin (cap Angsa)
2 tbsp Kecap Ikan
2 tbsp Shaoxing Wine / Angciu
1 tbsp Minyak Wijen
1 tsp Vetsin HK
1 tsp Merica Bubuk
2 tbsp Tepung Maizena
(Campur semua bahan di atas merata, lalu simpan dalam kulkas minimal 30 menit)
Bahan Lain :
5 pcs Tahu Putih / Sutera Yunyi (potong kotak memanjang)
1 tbsp Tepung Maizena
1/2 pack Daun Kucai (potong2)
5 siung Bawang Putih (geprek, cincang)
Secukupnya Air
Secukupnya Minyak untuk menumis
Bumbu :
Sedikit Garam
Secukupnya Kecap Ikan dan Kecap Asin - jika perlu ditambahkan
1 tsp Knorr Ayam
1 tsp Totole
Secukupnya Merica Bubuk
1 tsp Gula Pasir","Marinasi, :, Daging, Babi, Kapsim, (iris, ), tbsp, Kecap, Asin, (cap, Angsa), tbsp, Kecap, Ikan, tbsp, Shaoxing, Wine, /, Angciu, tbsp, Minyak, Wijen, tsp, Vetsin, HK, tsp, Merica, Bubuk, tbsp, Tepung, Maizena, (Campur, semua, bahan, di, atas, merata,, simpan, dalam, kulkas, minimal, menit), Bahan, Lain, :, pcs, Tahu, Putih, /, Sutera, Yunyi, (potong, kotak, memanjang), tbsp, Tepung, Maizena, /, pack, Daun, Kucai, (potong, ), Bawang, Putih, (geprek,, cincang), Air, Minyak, untuk, menumis, Bumbu, :, Garam, Kecap, Ikan, dan, Kecap, Asin, -, jika, perlu, ditambahkan, tsp, Knorr, Ayam, tsp, Totole, Merica, Bubuk, tsp, Gula, Pasir",300,15,15,20,0,"Langkah 1
Panaskan secukupnya minyak dalam wajan. Tumis bawang putih sampai wangi lalu beri sedikit garam dan gula pasir. Masukkan irisan daging yg telah di marinasi, tumis sampai kecoklatan.
Babi Cah Tahu Kucai langkah memasak 1 foto
Langkah 2
Balur potongan tahu dengan 1 tbsp Tepung Maizena asal saja. Lalu masukkan tahu ke dalam wajan. Tumis sebentar sampai tahu sedikit kecoklatan. Lalu beri secukupnya air. Beri sisa bumbu2 lalu TEST RASA!
Babi Cah Tahu Kucai langkah memasak 2 foto
Babi Cah Tahu Kucai langkah memasak 2 foto
Langkah 3
Setelah rasa pas, kecilkan api lalu tutup wajan sampai daging empuk. Setelah daging empuk, masukkan potongan kucai. Aduk perlahan agar tahu tidak hancur sampai kucai matang. Test rasa kembali. Angkat dan sajikan.
",,0,0,1,1,0,0
Kentang Babi Cincang Kecap,"200 gr babi cincang
3 bh kentang
8 bh bawang merah
4 siung bawang putih
Secukupnya garam
Secukupnya bumbu jamur
Secukupnya kecap
50 ml Air
","babi, cincang, kentang, bawang, merah, bawang, putih, garam, bumbu, jamur, kecap, ml, Air",400,15,20,40,0,"Langkah 1
Siapkan bahan-bahan
Kentang Babi Cincang Kecap langkah memasak 1 foto
Langkah 2
Iris bawang merah, bawang putih dan potong kentang
Kentang Babi Cincang Kecap langkah memasak 2 foto
Kentang Babi Cincang Kecap langkah memasak 2 foto
Langkah 3
Goreng kentang hingga berkulit. Sisihkan
Kentang Babi Cincang Kecap langkah memasak 3 foto
Kentang Babi Cincang Kecap langkah memasak 3 foto
Langkah 4
Tumis bawang merah dan bawang putih hingga harum
Kentang Babi Cincang Kecap langkah memasak 4 foto
Kentang Babi Cincang Kecap langkah memasak 4 foto
Langkah 5
Masukkan babi cincang masak hingga matang
Kentang Babi Cincang Kecap langkah memasak 5 foto
Langkah 6
Tambahkan bumbu jamur, garam dan kecap. Aduk hingga meresap.. tambahkan air
Kentang Babi Cincang Kecap langkah memasak 6 foto
Kentang Babi Cincang Kecap langkah memasak 6 foto
Langkah 7
Setelah meresap tambahkan kentang dan masak hingga kentang meresap.
Kentang Babi Cincang Kecap langkah memasak 7 foto
Kentang Babi Cincang Kecap langkah memasak 7 foto",,0,0,1,0,0,0
Sup Tulang Babi (Lingkut) kacang kedelai,"500 gr liungkut babi
Segenggam kacang kedelai
800 ml air
4 siung bawang putih (geprek)
1 ruas jahe (geprek)
Garam
Totole","liungkut, babi, Segenggam, kacang, kedelai, ml, air, bawang, putih, (geprek), jahe, (geprek), Garam, Totole",300,20,15,20,0,"Langkah 1
Masukan air dalam panci, masukan liungkut, bawang putih dan jahe. Rebus hingga air mendidih. Buang airnya dan Angkat lingkut lalu cuci bersih. Ini untuk menghilangkan bau babi dan agar kuah jernih.
Langkah 2
Masukan air kedalam panci dan masukan liungkut hingga mendidih
Langkah 3
Sambil menunggu, cuci kacang kedelai dan rendam dengan air
Langkah 4
Jika air sudah mendidih, tutup panci lalu kecilkan api. Masak dengan api kecil selama 30 menit
Langkah 5
Besarkan kembali api setelah 30 menit, masukan kacang kedelai, garam dan totole. Masak hingga matang. Jangan lupa koreksi rasa",,0,1,0,0,0,0
Patty pork / patty daging babi (non halal),"1 bungkus fress pork giling
2 biji telur
1/4 wortel
6 buah bawang putih
1 buah kecil bawang merah (sya pakai bawang merah india)
paprika (selera)
timun (selera)
lada bubuk
garam
mayonaise pedas + original
minyak sedikit (untuk menggoreng)
margarin
cheese/keju","bungkus, fress, pork, giling, biji, telur, /, wortel, bawang, putih, kecil, bawang, merah, (sya, pakai, bawang, merah, india), paprika, (selera), timun, (selera), lada, bubuk, garam, mayonaise, pedas, +, original, minyak, (untuk, menggoreng), margarin, cheese/keju",200,15,10,10,0,"Langkah 1
Chopper wortel, bawang putih, bawang merah, dan paprika
Langkah 2
Kalau sudah jadikan satu d wadah dengan daging babi dan campurkan lada dan garam, uleni dan bentuk seperti bola, (ukuran sesuai selera)
Langkah 3
Setelah berbentuk bulat cetak menggunakan tangan seperti patty burger, atau bisa juga bentuk kotak/ atau yg lain (sesuai selera)
Langkah 4
Goreng dg sedikit minyak dan tambahkan margarin sedikit agar daging menjadi harum dan gurih.. dg api sedang agar daging bisa matang dg sempurna
Langkah 5
Tiriskan petty yg sudah d goreng, dan kocok telur kasih garam sedikit, dan masukkan ke dalam teflon, bentuk seperti bulatan teflon dan petty taruh atasnya, tutup petty dg telur,, atas kasih cheese/keju agar telur dn petty bisa tertutup dg baik dn bisa menjadi perekat..
Langkah 6
Buat salad,,, saya pakai mayonaise pedas dan yg original, kalo saya, saya campur dg timun iris kecil²..
taruh d piring, siapkan,, dn siap di saji",,1,0,0,0,0,0
Pork Asparagus Stir Fry,"1 cup Saos Stir Fry (resep terlampir)
 Beef Broccoli Stir Fry
1 cup Asparagus (yg sudah dipotong selera)
1 cup Paprika Merah (yg sudah dipotong selera)
500 g Pork Loin (potong selera, bisa diganti dengan daging lain)
Garam + Lada","cup, Saos, Stir, Fry, (resep, terlampir), Beef, Broccoli, Stir, Fry, cup, Asparagus, (yg, sudah, dipotong, selera), cup, Paprika, Merah, (yg, sudah, dipotong, selera), g, Pork, Loin, (potong, selera,, bisa, diganti, dengan, daging, lain), Garam, +, Lada",300,20,15,20,0,"Langkah 1
Tumis daging dengan garam dan lada secukupnya hingga berubah warna, tuang saos, aduk rata, masak sebentar lalu masukan paprika dan asparagus, aduk rata, masak hingga semua bahan matang, angkat dan sajikan",,0,0,0,0,0,0
Sup Ma Ling Sosis Macaroni dengan Sayuran,"Kuah Kaldu Ayam :
1 ekor Tulang Ayam
10 pcs Ceker Ayam Kampung
Secukupnya Air Mendidih
Secukupnya Minyak untuk menumis tulang dan ceker
Bahan Lain :
1 kaleng Ma Ling (untuk versi halal bisa diganti dengan chicken / turkey luncheon meat) - potong kotak2
10 pcs Sosis Sapi (potong2)
5 pcs Wortel (potong2)
2 pcs Kentang (potong kotak2)
1 bonggol Kembang Kol (potong2)
3 siung Bawang Putih (geprek)
2 butir Bawang Bombay (iris2)
3 batang Daun Bawang (potong2)
Secukupnya Seledri (potong2)
2 tbsp Margarine (Blue Band)
Secukupnya Macaroni Elbow (rebus terpisah lalu siram air dingin, tiriskan)
Bumbu :
Secukupnya Garam
1 tbsp Knorr Ayam / Royco Ayam
1 tbsp Totole / Vetsin HK
Secukupnya Merica Bubuk
1/2 tsp Bubuk Pala","Kuah, Kaldu, Ayam, :, Tulang, Ayam, pcs, Ceker, Ayam, Kampung, Air, Mendidih, Minyak, untuk, menumis, tulang, dan, ceker, Bahan, Lain, :, kaleng, Ma, Ling, (untuk, versi, halal, bisa, diganti, dengan, chicken, /, turkey, luncheon, meat), -, kotak, pcs, Sosis, Sapi, (potong, ), pcs, Wortel, (potong, ), pcs, Kentang, (potong, kotak, ), bonggol, Kembang, Kol, (potong, ), Bawang, Putih, (geprek), Bawang, Bombay, (iris, ), batang, Daun, Bawang, (potong, ), Seledri, (potong, ), tbsp, Margarine, (Blue, Band), Macaroni, Elbow, (rebus, terpisah, siram, air, dingin,, tiriskan), Bumbu, :, Garam, tbsp, Knorr, Ayam, /, Royco, Ayam, tbsp, Totole, /, Vetsin, HK, Merica, Bubuk, /, tsp, Bubuk, Pala",400,15,20,40,0,"Langkah 1
Panaskan secukupnya minyak dalam panci presto (boleh pakai panci biasa kalau tidak ada). Masukkan semua tulang dan ceker, beri sedikit garam lalu tumis sampai berubah warna. Masukkan air mendidih lalu buang scum / kotoran yg mengambang agar kuah bening. Tutup panci presto, masak sampai kaldu dr tulang dan ceker keluar. Matikan api. Tunggu sampai panci bisa dibuka.
Langkah 2
Jika pakai panci biasa, tutup panci, masak di api sedang cenderung kecil sampai kaldu keluar.
Langkah 3
Panaskan margarine dalam wajan, tumis bawang putih sampai sedikit kecoklatan, lalu masukkan bawang bombay tumis sampai wangi. Tuang tumisan ke dalam panci berisi kuah kaldu mendidih.
Langkah 4
Lalu masukkan wortel, masak sebentar diikuti dengan memasukkan kentang. Masak sampai wortel dan kentang agak empuk lalu masukkan kembang kol.
Langkah 5
Masukkan potongan ma ling dan sosis, masak sebentar sampai matang lalu beri bumbu2. Test rasa! Setelah rasa pas, masukkan daun bawang dan seledri. Aduk2 lalu matikan api.
Langkah 6
Tata macaroni yg sudah direbus di dasar mangkok, lalu tuang sup dengan isiannya. Sajikan.",,0,0,0,0,0,0
Sweet and sour pork loin,"500 gr pork/beef loin
1 buah wortel brastagi
1/2 paprika merah
1/2 bawang bombay
Ukuran jempol jahe
2 buah bawang putih
1 ruas daun bawang besar
secukupnya Canolla oil
Saus sweet sour
4 sendok saus tomat
3 sendok cuka masak
4 sendok gula palm/aren
1 sendok maizena
1/2 sendok teh garam
2-4 sendok air
Marinated daging
1 1/2 sendok makan kecap asin
1 sendok makan rice wine
1 sendok makan saus tiram
1/2 sendok teh baking powder
secukupnya Lada","pork/beef, loin, wortel, brastagi, /, paprika, merah, /, bawang, bombay, jempol, jahe, bawang, putih, daun, bawang, Canolla, oil, Saus, sweet, sour, sendok, saus, tomat, sendok, cuka, masak, sendok, gula, palm/aren, sendok, maizena, /, sendok, teh, garam, -, sendok, air, Marinated, daging, /, sendok, makan, kecap, asin, sendok, makan, rice, wine, sendok, makan, saus, tiram, /, sendok, teh, baking, powder, Lada",300,20,15,20,0,"Langkah 1
Pertama cuci daging dengan garam dan baking soda supaya darah2 hilang gosok2 lalu bilas keringkan dengan towel paper (saya lupa jadi hasilnya basah pas marinated)
Langkah 2
Kemudian potong daging berlawan arah dari seratnya (biar empuk) tipis2 lebih enak tapi kalau mau tebal kaya aku punya juga ok
Langkah 3
Kemudian masukkan bumbu marinated ke dalam daging aduk rata diamkan 2-3jam (saya overnight karena marinated malam buat sarapan)
Langkah 4
Keluarkan daging dari kulkas kemudian baluri dengan maizena kering di wadah terpisah
Langkah 5
Goreng daging 2x dengan suhu medium sampai 60% matang kemudian suhu tinggi sampai matang 100% (jangan pakai olive oil) minyak jagung lebih baik saya pakai canolla dan berbuih 
Langkah 6
Setelah daging matang sisihkan dan siapkan sayur2nya potong kotak2 atau segitiga yang penting bunda bahagia 
Langkah 7
Tumis sayuran kecuali batang daun bawang putih (mau pakai untuk garnish bisa)
Selama 30 detik lalu sisihkan
Langkah 8
Masukan saus sweet sour ke dalam wajan masak hingga mengental baru masukan daging dan sayuran tadi
Aduk2 kira2 5 menit
Langkah 9
Hiyaa bener udah gitu aja
Wkwkkwkw
Selamat mencoba
Kalau suka pedes bisa tambahin cabe merah besar atau saus sambal di adonan saus ya mom",,0,0,1,0,0,0
Kuah bakut sayur asin (551),"Bakut dan kuah (frozen), keluarkan 30 menit sebelumnya
1 ikat kecil Sayur asin, cuci, potong
2 siung Bawang putih,(ready goreng)
3 cm Jahe, kupas,,belah lalu geprek
Sedikit Lada, Garam,gula
Optional: jagung keputren dan tomat","Bakut, dan, kuah, (frozen),, keluarkan, menit, sebelumnya, ikat, kecil, Sayur, asin,, cuci,, Bawang, putih,(ready, goreng), cm, Jahe,, kupas,,belah, geprek, Lada,, Garam,gula, Optional:, jagung, keputren, dan, tomat",300,15,15,20,0,"Langkah 1
Siapkan bahan.
Tumis bawang putih dan jahe dengan 1/2 sdm minyak sampai harum lalu masukkan bakut, tambahkan air secukupnya.masak sampai mendidih.
Kuah bakut sayur asin (551) langkah memasak 1 foto
Kuah bakut sayur asin (551) langkah memasak 1 foto
Langkah 2
Masukkan sayur asin, (optional, tomat dan keputren)serta bumbu. Koreksi rasa.taburi bawang putih goreng
Kuah bakut sayur asin (551) langkah memasak 2 foto
Langkah 3
Sajikan hangat.
Kuah bakut sayur asin (551) langkah memasak 3 foto
Kuah bakut sayur asin (551) langkah memasak 3 foto",,0,0,0,0,0,0
"Babi Kapsim Goreng gurih, renyah, & nikmat","1/2 kg daging kapsim babi
3 sdm saos super raja rasa
Garam
Kaldu
secukupnya Lada hitam bubuk
secukupnya Kunyit bubuk
2 sdm Bawang putih bubuk putih
Minyak goreng
Bumbu giling (jgn terlalu halus)
1,5 sdm ketumbar
5 bawang merah
Bahan sambal (giling tangan)
1 sdm bawang goreng
15 cabe rawit merah rebus
1 sdm bawang putih bubuk
Garam
Kaldu","/, daging, kapsim, babi, saos, super, raja, rasa, Garam, Kaldu, Lada, hitam, bubuk, Kunyit, bubuk, Bawang, putih, bubuk, putih, Minyak, goreng, Bumbu, giling, (jgn, terlalu, halus), ,, ketumbar, bawang, merah, Bahan, sambal, (giling, tangan), bawang, goreng, cabe, rawit, merah, rebus, bawang, putih, bubuk, Garam, Kaldu",400,15,25,20,0,"angkah 1
Potong daging ukuran sedang (tidak terlalu tebal & tidak terlalu tipis)
Babi Kapsim Goreng gurih, renyah, & nikmat langkah memasak 1 foto
Langkah 2
Geprek daging, jgn sampai hancur
Babi Kapsim Goreng gurih, renyah, & nikmat langkah memasak 2 foto
Langkah 3
Masukkan ke dalam bumbu (bahan yang tercantum di atas) kecuali minyak goreng dan bahan sambal, aduk dan diamkan selama 1 jam (simpan di dalam kulkas sebentar)
Babi Kapsim Goreng gurih, renyah, & nikmat langkah memasak 3 foto
Babi Kapsim Goreng gurih, renyah, & nikmat langkah memasak 3 foto
Babi Kapsim Goreng gurih, renyah, & nikmat langkah memasak 3 foto
Langkah 4
Panaskan minyak goreng, goreng daging hingga warna kuning kecoklatan, sisihkan
Babi Kapsim Goreng gurih, renyah, & nikmat langkah memasak 4 foto
Babi Kapsim Goreng gurih, renyah, & nikmat langkah memasak 4 foto
Langkah 5
Siap disantap dengan sambal
Babi Kapsim Goreng gurih, renyah, & nikmat langkah memasak 5 foto",,0,0,0,0,0,0
Thick Cut Pork Soup,"1 bh Kentang (potong jadi 8 lalu rendam dlm air)
3 cm Lobak (iris jadi 16)
1/3 btg Wortel (potong jadi 16)
1 ruas Jahe (iris tipis)
100 g Samcan (iris 2cm ; kalo mau halal bisa diganti dng Sapi)
400 ml Air
400 ml Air
1 sdm Sake (bisa diganti dng juice apel/ anggur + air lemon)
2 sdm Miso (bisa diganti Tauco tp beda rasa hasilnya)
1 btg Daun Bawang (iris2)","Kentang, (potong, jadi, rendam, dlm, air), cm, Lobak, (iris, jadi, ), /, btg, Wortel, (potong, jadi, ), Jahe, (iris, tipis), g, Samcan, (iris, cm, ;, kalo, mau, halal, bisa, diganti, dng, Sapi), ml, Air, ml, Air, Sake, (bisa, diganti, dng, juice, apel/, anggur, +, air, lemon), Miso, (bisa, diganti, Tauco, tp, beda, rasa, hasilnya), btg, Daun, Bawang, (iris, )",300,20,15,20,0,"Langkah 1
Tumis samcan tanpa minyak hingga kedua sisinya kecoklatan lalu buang minyak yg berlebih pada wajan (sisakan sedikiiiit saja)
Langkah 2
Tuang air dan sake, masak hingga mendidih (busa yg ada boleh dibuang) lalu tambahkan jahe, tutup wajan biarkan masak hingga daging empuk
Langkah 3
Masukan sayuran, tutup kembali dan biarkan masak hingga sayuran matang, lalu beri Miso, masak sebentar (buat kita akan terasa plain jadi bisa ditambahkan bumbu lain jika dirasa perlu)
Langkah 4
Angkat dan Sajikan segera selagi masih hangat
Jangan lupa beri taburan daun bawang",,0,0,0,0,0,0
Sweet & Sour Pork / Daging Babi Saos Asam Manis,"350 g daging babi (me: has)
Sejumput garam
1 sdt arak
1 kuning telur
1 sdm tepung tapioka
Secukupnya tapioka untuk baluran
Bahan Saos A
1/2 buah bawang bombay, potong kotak kecil
1 buah tomat, potong kotak kecil
Sedikit minyak
1/4 cup madu
1 cup saos tomat (me: 1/2 cup)
10 pcs manisan sancha
1 sdm selai strawberry
1 sdm gula pasir
Secukupnya garam
Secukupnya air
Bahan Saos B
1/2 bawang bombay, potong kotak besar
1/2 (150 g) buah nanas, potong kotak besar
1/2 paprika hijau&merah (me: 3 cabe merah besar+2 cabe hijau besar)
1 sdm cuka
Secukupnya tapioka cair","g, daging, babi, (me:, has), Sejumput, garam, arak, kuning, telur, tepung, tapioka, tapioka, untuk, baluran, Bahan, Saos, A, /, bawang, bombay,, kotak, kecil, tomat,, kotak, kecil, minyak, /, cup, madu, cup, saos, tomat, (me:, /, cup), pcs, manisan, sancha, selai, strawberry, gula, pasir, garam, air, Bahan, Saos, B, /, bawang, bombay,, kotak, /, (, g), nanas,, kotak, /, paprika, hijau&merah, (me:, cabe, merah, besar+, cabe, hijau, besar), cuka, tapioka, cair",400,20,20,40,0,"Langkah 1
Tusuk2 daging dengan tusukan. Potong ukuran bites, gepak dengan pisau, tusuk2 dengan belakang pisau
Sweet & Sour Pork / Daging Babi Saos Asam Manis langkah memasak 1 foto
Sweet & Sour Pork / Daging Babi Saos Asam Manis langkah memasak 1 foto
Sweet & Sour Pork / Daging Babi Saos Asam Manis langkah memasak 1 foto
Langkah 2
Campur daging dengan arak, kuning telur, garam dan tapioka. Aduk rata. Balur dengan tepung tapioka sambil diremas2, bentuk bulat
Sweet & Sour Pork / Daging Babi Saos Asam Manis langkah memasak 2 foto
Sweet & Sour Pork / Daging Babi Saos Asam Manis langkah memasak 2 foto
Langkah 3
Panaskan minyak. Goreng daging sampai matang. Angkat. Panaskan minyak, goreng 1x lagi sebentar saja (kurleb 2m)
Sweet & Sour Pork / Daging Babi Saos Asam Manis langkah memasak 3 foto
Sweet & Sour Pork / Daging Babi Saos Asam Manis langkah memasak 3 foto
Sweet & Sour Pork / Daging Babi Saos Asam Manis langkah memasak 3 foto
Langkah 4
Saos A: Panaskan sedikit minyak. Tumis bawang bombay+tomat+arak sampai wangi. Masukkan madu+saos tomat+manisan sancha+air+gula pasir+garam
Sweet & Sour Pork / Daging Babi Saos Asam Manis langkah memasak 4 foto
Sweet & Sour Pork / Daging Babi Saos Asam Manis langkah memasak 4 foto
Sweet & Sour Pork / Daging Babi Saos Asam Manis langkah memasak 4 foto
Langkah 5
Masak sampai mendidih. Ambil ampas
Sweet & Sour Pork / Daging Babi Saos Asam Manis langkah memasak 5 foto
Langkah 6
Saos B: Masukkan nenas+cabe+bombay+cuka ke saos A. Aduk rata. Tambahkan tapioka cair. Masukkan daging. Aduk rata
Sweet & Sour Pork / Daging Babi Saos Asam Manis langkah memasak 6 foto
Sweet & Sour Pork / Daging Babi Saos Asam Manis langkah memasak 6 foto
Sweet & Sour Pork / Daging Babi Saos Asam Manis langkah memasak 6 foto",,1,0,0,0,0,0
Sawi Gulung isi Babi,"300 gr babi cincang berbumbu
1/2 buah wortel parut
1 pcs tahu jepang (lumatkan / hancurkan)
2 batang daun bawang
lada putih
garam
1 bh sawi putih
1 sdm saus tiram
1 sdm kaldu ayam
1 sdt garam
1 sdt kaldu jamur","babi, cincang, berbumbu, /, wortel, parut, pcs, tahu, jepang, (lumatkan, /, hancurkan), batang, daun, bawang, lada, putih, garam, sawi, putih, saus, tiram, kaldu, ayam, garam, kaldu, jamur",200,10,10,10,0,"Langkah 1
Cuci sawi putih hingga bersih lalu rebus sawi sampai lunak
Langkah 2
Campurkan parutan wortel, potongan daun bawang, tahu yang sudah dihaluskan, daging cincang, serta sejumput tepung, saus tiram,kaldu, lada dan garam. aduk hingga merata
Sawi Gulung isi Babi langkah memasak 2 foto
Sawi Gulung isi Babi langkah memasak 2 foto
Langkah 3
Letakkan adonan di atas lembaran sawi yang sudah direbus
Sawi Gulung isi Babi langkah memasak 3 foto
Sawi Gulung isi Babi langkah memasak 3 foto
Langkah 4
Lalu kukus sawi gulung selama 15- 20 menit. Angkat dan sajikan.
Sawi Gulung isi Babi langkah memasak 4 foto
Sawi Gulung isi Babi langkah memasak 4 foto",,0,0,1,0,0,0
